homo_sapiens cluster	mus_musculus cluster	intersect	intersect_prop
endothelial cell	endothelial cell	32	0.344086021505376
conventional dendritic cell	macrophage	26	0.333333333333333
macrophage	macrophage	26	0.302325581395349
epithelial cell of proximal tubule	epithelial cell of proximal tubule	24	0.258064516129032
monocyte	macrophage	20	0.24390243902439
kidney loop of Henle epithelial cell	kidney collecting duct epithelial cell	21	0.235955056179775
neutrophil	macrophage	16	0.207792207792208
natural killer cell	macrophage	12	0.157894736842105
plasmacytoid dendritic cell	macrophage	12	0.144578313253012
B cell	macrophage	10	0.136986301369863
ureteric bud	kidney collecting duct epithelial cell	12	0.131868131868132
CD4-positive, alpha-beta T cell	macrophage	10	0.123456790123457
CD8-positive, alpha-beta T cell	natural killer cell	9	0.121621621621622
mast cell	macrophage	10	0.120481927710843
S shaped body	kidney collecting duct epithelial cell	10	0.10752688172043
